date,equity
2021-03-01,999200.0000000001
2021-03-02,910339.262054927
2021-03-03,937191.1284476545
2021-03-04,828067.269292604
2021-03-05,765132.848323412
2021-03-08,733079.1522986003
2021-03-09,963299.6500847013
2021-03-10,1022226.2619491137
2021-03-11,1132765.4186539878
2021-03-12,1113685.6470745024
2021-03-15,1150638.020808857
2021-03-16,1028911.6877160807
2021-03-17,1163897.1324550495
2021-03-18,1100414.161345649
2021-03-19,1124055.8548958185
2021-03-22,1041032.0136491036
2021-03-23,960763.3026948149
2021-03-24,867677.1912975512
2021-03-25,892702.8647007493
2021-03-26,917714.7577111766
2021-03-29,941129.9007173247
2021-03-30,1052950.4746849812
2021-03-31,1119758.0297888857
2021-04-01,1118850.795773132
2021-04-05,1259522.1471749714
2021-04-06,1182341.0265540357
2021-04-07,1049830.7746919075
2021-04-08,1103292.5963930134
2021-04-09,1094761.3089429399
2021-04-12,1127447.057405921
2021-04-13,1221220.1075997164
2021-04-14,1031398.1360784475
2021-04-15,999848.1275869412
2021-04-16,925770.2614869132
2021-04-19,846842.034473323
2021-04-20,799002.5454176057
2021-04-21,844149.8898343659
2021-04-22,747996.2418809561
2021-04-23,783596.8048524234
2021-04-26,830585.5791222852
2021-04-27,826377.8670773258
2021-04-28,903361.014716881
2021-04-29,825938.2184832253
2021-04-30,870929.7785377653
2021-05-03,844718.1599940454
2021-05-04,792687.9499476693
2021-05-05,777989.8026055482
2021-05-06,719437.6483206744
2021-05-07,717987.6540546538
2021-05-10,640724.7105517971
2021-05-11,618073.5202507079
2021-05-12,546542.1677399512
2021-05-13,464033.24584492756
2021-05-14,543943.3315974418
2021-05-17,517486.71044583793
2021-05-18,538035.4064274454
2021-05-19,508111.47438495426
2021-05-20,510632.9568538094
2021-05-21,484819.08227750583
2021-05-24,544020.2846314879
2021-05-25,529284.8671591049
2021-05-26,586474.5933074942
2021-05-27,602321.1596447076
2021-05-28,575374.1511201411
2021-06-01,602556.2588982871
2021-06-02,611280.3740226062
2021-06-03,575906.7215270536
2021-06-04,591569.3071505817
2021-06-07,588646.0965666374
2021-06-08,571845.7143835024
2021-06-09,636264.6602101201
2021-06-10,643058.9731320773
2021-06-11,637249.7148510044
2021-06-14,722822.7742019311
2021-06-15,728045.9386886366
2021-06-16,710812.5934804907
2021-06-17,712919.329907521
2021-06-18,677438.2317477275
2021-06-21,658119.003800589
2021-06-22,659063.5600807447
2021-06-23,664868.448638149
2021-06-24,703098.9673498095
2021-06-25,676853.3862881578
2021-06-28,732894.9737459029
2021-06-29,770977.1399222346
2021-06-30,763317.1213232874
2021-07-01,739541.3391931949
2021-07-02,737268.0087054821
2021-07-06,695728.7718285054
2021-07-07,677898.8710021437
2021-07-08,652883.413494987
2021-07-09,654342.4350952131
2021-07-12,645223.0208496619
2021-07-13,622822.1678318246
2021-07-14,596107.9935790875
2021-07-15,604263.7366282772
2021-07-16,587180.4789719002
2021-07-19,576397.1552352633
2021-07-20,589192.3023500792
2021-07-21,635792.5115161226
2021-07-22,613393.521537265
2021-07-23,582806.7251225479
2021-07-26,621285.6808413574
2021-07-27,552051.8078120232
2021-07-28,593572.4189626926
2021-07-29,571703.928863483
2021-07-30,567953.2496095889
2021-08-02,594520.0093007347
2021-08-03,642539.5184058492
2021-08-04,677039.7366323493
2021-08-05,670458.8216641304
2021-08-06,672105.6260647591
2021-08-09,730191.162096515
2021-08-10,705645.6765996296
2021-08-11,642477.8359631549
2021-08-12,655021.2709463184
2021-08-13,657451.6416379105
2021-08-16,636568.8775365896
2021-08-17,656635.1999246145
2021-08-18,647824.297692448
2021-08-19,631036.4847037351
2021-08-20,639695.5747820118
2021-08-23,674550.6480882241
2021-08-24,651956.7072131013
2021-08-25,660948.8381942943
2021-08-26,667325.1380159907
