date,action,symbol,price,shares
2023-04-10,BUY,META,214.378,1554.8859
2023-04-10,BUY,NVDA,27.5306,12107.7395
2023-04-10,BUY,MSTR,31.1931,10686.124
2023-04-17,SELL,META,218.5117,29.9747
2023-04-17,SELL,MSTR,31.286,10686.124
2023-04-17,BUY,SHOP,48.4372,6879.236
2023-04-17,BUY,NVDA,26.9535,254.697
2023-04-24,BUY,MELI,1271.7096,258.6491
2023-04-24,BUY,META,212.4409,23.4092
2023-04-24,SELL,SHOP,47.938,6879.236
2023-04-24,SELL,NVDA,26.9845,172.9731
2023-05-01,SELL,META,242.7254,91.8619
2023-05-01,BUY,NVDA,28.8586,60.5926
2023-05-01,BUY,MSFT,304.9918,1159.1114
2023-05-01,SELL,MELI,1289.413,258.6491
2023-05-08,BUY,META,232.8502,49.7783
2023-05-08,SELL,MSFT,308.0472,1159.1114
2023-05-08,BUY,SHOP,64.2934,5455.1095
2023-05-08,SELL,NVDA,29.1063,200.1721
2023-05-15,SELL,META,238.3919,48.7431
2023-05-15,BUY,SHOP,61.4976,194.7809
2023-05-15,SELL,NVDA,28.9126,32.4694
2023-05-22,BUY,META,247.9875,1.584
2023-05-22,BUY,SHOP,61.9669,189.2437
2023-05-22,SELL,NVDA,31.1192,390.09
2023-05-30,BUY,META,262.1462,50.9029
2023-05-30,SELL,SHOP,58.1127,5839.1341
2023-05-30,BUY,PLTR,14.6879,26949.7803
2023-05-30,SELL,NVDA,40.0528,1744.478
2023-06-05,SELL,META,271.0229,28.1939
2023-06-05,SELL,PLTR,15.1972,523.9825
2023-06-05,BUY,NVDA,39.1232,382.1147
2023-06-12,BUY,META,270.6734,18.8299
2023-06-12,SELL,PLTR,15.6165,416.3212
2023-06-12,BUY,NVDA,39.4348,35.002
2023-06-20,BUY,META,284.0333,9.7176
2023-06-20,BUY,PLTR,15.7663,1199.5196
2023-06-20,SELL,NVDA,43.7543,495.551
2023-06-26,SELL,META,278.1022,76.148
2023-06-26,BUY,PLTR,13.9191,1445.8964
2023-06-26,BUY,NVDA,40.577,25.0555
2023-07-03,SELL,META,285.7108,1434.1861
2023-07-03,BUY,TSLA,279.5301,1513.9733
2023-07-03,SELL,PLTR,15.4867,1328.1478
2023-07-03,BUY,NVDA,42.3324,167.6289
2023-07-10,BUY,TSLA,269.1057,62.1549
2023-07-10,SELL,PLTR,16.2756,1266.5636
2023-07-10,BUY,NVDA,42.1068,75.9813
2023-07-17,BUY,TSLA,289.8945,6.8477
2023-07-17,BUY,PLTR,17.3639,367.9837
2023-07-17,SELL,NVDA,46.3913,181.2231
2023-07-24,BUY,TSLA,268.6964,25.6298
2023-07-24,BUY,PLTR,16.2955,96.1248
2023-07-24,SELL,NVDA,44.5511,190.0393
2023-07-31,SELL,TSLA,267.0388,1608.6057
2023-07-31,BUY,META,317.9424,1475.5109
2023-07-31,SELL,PLTR,19.8003,2831.3416
2023-07-31,BUY,NVDA,46.6559,353.2358
2023-08-07,SELL,META,316.1551,55.4724
